IPC,DSCR,IPCanterior,IPCanterior1,IPCanterior2,IPCanterior3,PM_L1_ICACHE_MISS,PERF_COUNT_HW_CACHE_L1D:READ:MISS,PERF_COUNT_HW_CACHE_L1D:WRITE:MISS,PERF_COUNT_HW_CACHE_LL:WRITE:MISS,PM_DATA_FROM_L3,PM_MEM_PREF,PERF_COUNT_HW_CACHE_L1I:PREFETCH:ACCESS,PERF_COUNT_HW_CACHE_L1D:PREFETCH:ACCESS,PM_MEM_READ,PM_L1_ICACHE_RELOADED_PREF,PM_DATA_FROM_MEMORY,PM_BR_MPRED_CMPL,LLC-LOAD-MISSES,PM_DISP_HELD_IQ_FULL,PM_CMPLU_STALL_DMISS_L3MISS,PERF_COUNT_HW_BRANCH_INSTRUCTIONS
1.298357,0,1.319439,1.290504,1.303484,1.313838,5126536,2800303,3892497,562010,1145776,21842,7822897,1883040,9354,6679350,277,7108209,17841,65843813,1703669,20418793
1.282172,0,1.298357,1.270562,1.298959,1.277435,4389713,3869025,3189753,422286,1853373,59668,6706668,1893742,9530,6739482,2322,7750939,47177,64308012,4332707,19372663
1.284140,0,1.282172,1.298105,1.287176,1.285875,4225052,3701957,3739205,403746,1273946,112744,7022818,1541527,12280,5755166,6663,6821399,50473,71546240,5294928,19349228
1.276229,0,1.284140,1.249545,1.284187,1.269528,5294369,2927305,5085676,371922,1888376,264956,6452352,1860876,19414,7503502,3629,6637542,98744,82921901,11407092,20379324
1.273935,0,1.276229,1.254733,1.278763,1.271525,3748437,4127689,4256164,563946,1877691,175370,7322958,2043449,48430,5772371,37353,7396741,66674,70710033,8365153,19533665
1.269513,0,1.273935,1.230790,1.273170,1.225328,4687260,3680895,4638571,387588,1272764,398936,7125151,1701231,45358,6056655,29551,6768848,75984,67889742,10404418,19833939
1.265850,0,1.269513,1.251672,1.269418,1.243951,3993980,3782066,4947463,469712,2151370,541985,5716030,1669979,51686,5996452,39596,6876737,89397,68019586,13297880,19845174
1.264146,0,1.265850,1.249591,1.266739,1.227224,3526614,3290964,4485715,385932,1161802,1449956,5884405,1277163,125258,4368965,87749,6295970,159548,54782588,15910870,18721887
1.257653,0,1.264146,1.256992,1.263164,1.193097,5467879,4446610,6322661,1346160,1998430,3252416,3552735,3381473,170838,3803083,108897,5725145,272259,99674858,28318102,18379559
1.252823,0,1.257653,1.123518,1.261228,1.123381,4716375,2263766,11191212,462874,3471767,3284994,4317572,2827593,26792,7809305,4329,5964865,347196,81563904,35835040,18793427
1.248255,0,1.252823,1.218094,1.254858,1.278316,3178477,2107809,2389565,139088,959688,2966548,2535708,4135785,291904,5915132,205091,6634915,179327,94100419,45096071,17626398
1.249461,0,1.248255,1.259124,1.249424,1.253159,3969443,4544101,6375652,601040,1772989,2135450,5521455,1621507,138564,6149066,62660,7077102,107879,86158812,31112509,17180745
1.247214,0,1.249461,1.161234,1.249053,1.168841,3599708,3314651,2755218,295864,1402482,491554,7487921,1297846,307708,6013871,175407,7810849,3564,50878383,780276,19916861
1.244566,0,1.247214,1.164774,1.246497,1.165397,3133103,3077931,3396669,311718,661716,444018,8359625,1336443,340856,5415835,190857,7216389,5995,55710905,1225981,19820280
